,Job Title,Rating,Company Name,Location,Size,Sector,avg_salary,python,r,spark,aws,excel,Salary_category,Size_category,State_category,State_Acro
26,Data Scientist,3.5,First Tech Federal Credit Union,"Hillsboro, OR",1001 to 5000 employees,Finance,99.5,1,0,1,1,1,middleSalary,1000 to 5000,OR,Oregon
27,Associate Data Analyst,3.7,The Hanover Insurance Group,"Worcester, MA",5001 to 10000 employees,Insurance,47.5,0,0,0,0,1,lowestSalary,More than 5000,MA,Massachusetts
28,Clinical Data Scientist,4.0,Pfizer,"Groton, CT",10000+ employees,Biotech & Pharmaceuticals,84.0,0,0,0,1,1,lowSalary,More than 5000,CT,Connecticut
29,Data Scientist,4.8,KnowBe4,"Clearwater, FL",501 to 1000 employees,Business Services,85.0,1,0,1,0,1,lowSalary,500 to 1000,FL,Florida
30,Data Scientist,3.8,PNNL,"Richland, WA",1001 to 5000 employees,"Oil, Gas, Energy & Utilities",76.5,1,0,0,0,0,lowSalary,1000 to 5000,WA,Washington
31,Data Scientist,3.6,Amrock,"Detroit, MI",1001 to 5000 employees,Real Estate,96.0,1,0,0,0,0,middleSalary,1000 to 5000,MI,Michigan
32,Data Scientist / Machine Learning Expert,3.8,Novartis,"Cambridge, MA",10000+ employees,Biotech & Pharmaceuticals,114.5,1,0,0,0,0,middleSalary,More than 5000,MA,Massachusetts
33,Data Scientist,3.8,Juniper Networks,"Sunnyvale, CA",5001 to 10000 employees,Telecommunications,121.0,1,0,1,0,1,middleSalary,More than 5000,CA,California
34,Data Scientist,4.7,New England Biolabs,"Ipswich, MA",201 to 500 employees,Biotech & Pharmaceuticals,112.5,1,0,0,0,1,middleSalary,Under 500,MA,Massachusetts
35,Web Data Analyst,4.2,Clarity Insights,"San Jose, CA",201 to 500 employees,Information Technology,106.0,1,0,0,0,1,middleSalary,Under 500,CA,California
36,Data Scientist,3.5,Esri,"Redlands, CA",1001 to 5000 employees,Information Technology,107.0,1,0,1,1,0,middleSalary,1000 to 5000,CA,California
37,Data Scientist,4.7,Systems & Technology Research,"Woburn, MA",201 to 500 employees,Aerospace & Defense,110.0,1,0,1,0,1,middleSalary,Under 500,MA,Massachusetts
38,Senior Data Scientist,3.5,Sartorius,"Fremont, CA",5001 to 10000 employees,Biotech & Pharmaceuticals,147.5,1,0,0,0,1,middleSalary,More than 5000,CA,California
39,Data Engineer,3.5,Lancer Insurance,"Long Beach, NY",201 to 500 employees,Insurance,106.0,1,0,0,0,1,middleSalary,Under 500,NY,New York
40,Data Analyst,4.2,Sauce Labs,"San Francisco, CA",201 to 500 employees,Information Technology,88.0,1,0,0,1,1,lowSalary,Under 500,CA,California
41,Data Engineer,3.6,Persivia,"Marlborough, MA",1 to 50 employees,-1,98.5,0,0,0,0,1,middleSalary,Under 500,MA,Massachusetts
42,Data Scientist - Algorithms & Inference,4.2,Nuna,"San Francisco, CA",51 to 200 employees,Information Technology,142.5,0,0,0,0,0,middleSalary,Under 500,CA,California
43,Scientist,3.4,Edgewell Personal Care,"Allendale, NJ",5001 to 10000 employees,Manufacturing,82.5,0,0,0,1,0,lowSalary,More than 5000,NJ,New Jersey
44,Senior Data Scientist,4.3,Equity Residential,"Chicago, IL",1001 to 5000 employees,Real Estate,130.0,1,0,1,0,1,middleSalary,1000 to 5000,IL,Illinois
45,Data Scientist,5.0,BPA Services,"Washington, DC",Unknown,Information Technology,155.0,0,0,0,1,1,highSalary,,DC,DC
46,Lead Data Scientist,3.7,Visa Inc.,"Bellevue, WA",10000+ employees,Information Technology,184.5,1,0,0,0,1,highSalary,More than 5000,WA,Washington
47,Associate Data Analyst,3.1,Intrado,"Longmont, CO",5001 to 10000 employees,Information Technology,29.5,0,0,0,0,1,lowestSalary,More than 5000,CO,Colorado
48,Spectral Scientist/Engineer,4.7,Centauri,"Beavercreek, OH",501 to 1000 employees,Aerospace & Defense,86.5,0,0,0,0,0,lowSalary,500 to 1000,OH,Ohio
49,College Hire - Data Scientist - Open to December 2019 Graduates,3.7,Caterpillar,"Peoria, IL",10000+ employees,Manufacturing,81.0,0,0,0,0,0,lowSalary,More than 5000,IL,Illinois
50,Data Scientist,3.8,Zimmerman Advertising,"Fort Lauderdale, FL",501 to 1000 employees,Business Services,91.0,1,0,0,0,1,middleSalary,500 to 1000,FL,Florida
51,"Data Scientist, Office of Data Science",3.3,Liberty Mutual Insurance,"Boston, MA",10000+ employees,Insurance,114.5,1,0,0,0,0,middleSalary,More than 5000,MA,Massachusetts
52,Data Science Analyst,4.6,"Torch Technologies, Inc.","Huntsville, AL",1001 to 5000 employees,Aerospace & Defense,68.0,1,0,0,0,1,lowSalary,1000 to 5000,AL,Alabama
53,Data Scientist,3.7,Swiss Re,"Armonk, NY",10000+ employees,Insurance,115.0,1,0,0,0,1,middleSalary,More than 5000,NY,New York
54,Data Scientist,3.7,Northrop Grumman,"San Diego, CA",10000+ employees,Aerospace & Defense,109.5,0,0,0,0,1,middleSalary,More than 5000,CA,California
55,Data Scientist,3.5,Sartorius,"Albuquerque, NM",5001 to 10000 employees,Biotech & Pharmaceuticals,75.5,1,0,0,0,1,lowSalary,More than 5000,NM,New Mexico
56,Data Scientist,4.1,Netskope,"San Francisco, CA",501 to 1000 employees,Information Technology,154.5,1,0,1,0,1,highSalary,500 to 1000,CA,California
57,Data Scientist,4.7,1904labs,"Saint Louis, MO",51 to 200 employees,Information Technology,143.5,1,0,1,0,0,middleSalary,Under 500,MO,Missouri
58,Data Scientist,4.1,ClearOne Advantage,"Baltimore, MD",501 to 1000 employees,Finance,73.5,0,0,0,0,1,lowSalary,500 to 1000,MD,Maryland
59,Data Scientist,3.4,CyrusOne,"Dallas, TX",201 to 500 employees,Real Estate,95.0,1,0,0,1,1,middleSalary,Under 500,TX,Texas
60,Senior Data Scientist,4.4,The David J. Joseph Company,"Cincinnati, OH",201 to 500 employees,Mining & Metals,107.0,1,0,0,1,0,middleSalary,Under 500,OH,Ohio
61,Data Scientist,4.3,USEReady,"New York, NY",201 to 500 employees,Business Services,115.0,1,0,1,1,0,middleSalary,Under 500,NY,New York
62,Senior Risk Data Scientist,3.8,Bill.com,"Palo Alto, CA",501 to 1000 employees,Finance,139.5,0,0,0,0,0,middleSalary,500 to 1000,CA,California
63,Data Scientist in Artificial Intelligence Early Career,3.8,Pacific Northwest National Laboratory,"Richland, WA",1001 to 5000 employees,"Oil, Gas, Energy & Utilities",67.0,0,0,0,0,0,lowSalary,1000 to 5000,WA,Washington
64,Data Scientist,3.8,DICK'S Sporting Goods - Corporate,"Coraopolis, PA",10000+ employees,Retail,85.0,1,0,0,0,0,lowSalary,More than 5000,PA,Pennsylvania
65,Data Scientist,2.8,Berg Health,"Framingham, MA",51 to 200 employees,Biotech & Pharmaceuticals,118.0,1,0,0,0,1,middleSalary,Under 500,MA,Massachusetts
66,Data Scientist,4.7,Oversight Systems,"Atlanta, GA",51 to 200 employees,Information Technology,79.5,1,0,0,0,1,lowSalary,Under 500,GA,Georgia
67,Data Scientist - Research,3.1,C Space,"Boston, MA",201 to 500 employees,Business Services,56.5,1,0,0,0,0,lowSalary,Under 500,MA,Massachusetts
68,Data Scientist,3.2,"Numeric, LLC","Philadelphia, PA",1 to 50 employees,Business Services,128.5,1,0,1,1,0,middleSalary,Under 500,PA,Pennsylvania
69,R&D Data Analysis Scientist,4.0,HP Inc.,"Vancouver, WA",10000+ employees,Information Technology,97.5,0,0,0,0,0,middleSalary,More than 5000,WA,Washington
70,Analytics Consultant,4.4,SpringML,"Indianapolis, IN",1 to 50 employees,Information Technology,66.5,1,0,0,0,0,lowSalary,Under 500,IN,Indiana
71,"Director, Data Science",3.6,Grainger,"Lake Forest, IL",10000+ employees,Business Services,179.5,1,0,0,0,1,highSalary,More than 5000,IL,Illinois
72,Scientist,2.7,EAG Laboratories,"Maryland Heights, MO",501 to 1000 employees,Business Services,76.0,0,0,0,0,1,lowSalary,500 to 1000,MO,Missouri
73,Data Scientist SR,3.9,The Buffalo Group,"Charlottesville, VA",501 to 1000 employees,Information Technology,112.0,1,0,1,0,0,middleSalary,500 to 1000,VA,Virginia
74,Data Scientist,3.1,Carmeuse,"Pittsburgh, PA",1001 to 5000 employees,Mining & Metals,98.0,1,0,0,0,0,middleSalary,1000 to 5000,PA,Pennsylvania
75,R&D Sr Data Scientist,4.0,HP Inc.,"Vancouver, WA",10000+ employees,Information Technology,128.0,0,0,1,1,0,middleSalary,More than 5000,WA,Washington
76,Customer Data Scientist/Sales Engineer (Bay,4.3,h2o.ai,"Mountain View, CA",201 to 500 employees,Information Technology,150.5,1,0,1,1,1,highSalary,Under 500,CA,California
77,Research Scientist,1.9,GNS Healthcare,"Cambridge, MA",51 to 200 employees,Biotech & Pharmaceuticals,87.5,0,0,0,1,0,lowSalary,Under 500,MA,Massachusetts
78,Data Scientist,3.3,Peraton,"Chantilly, VA",1001 to 5000 employees,Aerospace & Defense,110.0,1,0,0,0,1,middleSalary,1000 to 5000,VA,Virginia
79,Data Scientist,4.4,Pactera,"San Jose, CA",10000+ employees,Information Technology,113.5,1,0,0,0,1,middleSalary,More than 5000,CA,California
80,Data Scientist,3.9,Nurx,"San Francisco, CA",51 to 200 employees,Health Care,124.0,1,0,0,0,0,middleSalary,Under 500,CA,California
81,Jr. Business Data Analyst,4.7,webfx.com,"Harrisburg, PA",201 to 500 employees,Business Services,56.5,0,0,0,0,1,lowSalary,Under 500,PA,Pennsylvania
82,Data Scientist,4.5,Johns Hopkins University Applied Physics Laboratory,"Laurel, MD",5001 to 10000 employees,Aerospace & Defense,130.0,1,0,0,0,1,middleSalary,More than 5000,MD,Maryland
83,Data Analyst,4.3,Productive Edge,"Chicago, IL",51 to 200 employees,Information Technology,77.5,0,0,0,0,1,lowSalary,Under 500,IL,Illinois
84,Data Engineer,4.0,Excella Consulting,"Arlington, VA",201 to 500 employees,Business Services,87.0,1,0,0,1,1,lowSalary,Under 500,VA,Virginia
85,Data Analyst,4.4,Gensco,"Tacoma, WA",501 to 1000 employees,Business Services,53.5,0,0,0,0,1,lowSalary,500 to 1000,WA,Washington
86,Staff Data Scientist - Technology,3.2,Walmart,"Plano, TX",10000+ employees,Retail,139.0,0,0,0,0,0,middleSalary,More than 5000,TX,Texas
87,Data Scientist,3.8,Logic20/20,"San Jose, CA",201 to 500 employees,Business Services,114.0,1,0,1,1,1,middleSalary,Under 500,CA,California
88,Data Scientist,4.2,goTRG,"Miami, FL",501 to 1000 employees,Information Technology,85.5,1,0,1,0,1,lowSalary,500 to 1000,FL,Florida
89,Data Management Specialist,4.5,NMR Consulting,"Huntsville, AL",51 to 200 employees,Information Technology,48.0,0,0,0,0,1,lowestSalary,Under 500,AL,Alabama
90,E-Commerce Data Analyst,3.5,iSeatz,"New Orleans, LA",51 to 200 employees,Information Technology,48.0,0,0,0,0,1,lowestSalary,Under 500,LA,Louisiana
91,Sr. Scientist II,3.5,Nektar Therapeutics,"San Francisco, CA",201 to 500 employees,Biotech & Pharmaceuticals,174.0,0,0,0,0,1,highSalary,Under 500,CA,California
92,Insurance Data Scientist,3.9,TransUnion,"Atlanta, GA",5001 to 10000 employees,Finance,85.0,1,0,1,0,0,lowSalary,More than 5000,GA,Georgia
93,Data Modeler,4.7,IT Concepts,"Landover, MD",51 to 200 employees,Information Technology,106.5,0,0,0,0,0,middleSalary,Under 500,MD,Maryland
94,Data Analyst / Scientist,4.2,Scientific Research Corporation,"Patuxent River, MD",1001 to 5000 employees,Information Technology,72.5,0,0,0,0,1,lowSalary,1000 to 5000,MD,Maryland
95,Scientist,3.4,General Dynamics Information Technology,"Suitland, MD",10000+ employees,Information Technology,85.5,0,0,0,0,0,lowSalary,More than 5000,MD,Maryland
96,Data Scientist,3.2,MITRE,"McLean, VA",5001 to 10000 employees,Government,97.5,1,0,0,0,1,middleSalary,More than 5000,VA,Virginia
97,Data Scientist,3.9,The Buffalo Group,"Fort Belvoir, VA",501 to 1000 employees,Information Technology,99.0,1,0,0,0,1,middleSalary,500 to 1000,VA,Virginia
98,Data Analyst,3.1,DentaQuest,"Milwaukee, WI",1001 to 5000 employees,Insurance,56.5,0,0,0,0,1,lowSalary,1000 to 5000,WI,Wisconsin
99,Lead Data Scientist,4.1,Redjack,"Silver Spring, MD",1 to 50 employees,Information Technology,133.0,1,0,0,0,0,middleSalary,Under 500,MD,Maryland
100,Data Scientist,3.8,7Park Data,"New York, NY",51 to 200 employees,Business Services,121.0,1,0,1,0,0,middleSalary,Under 500,NY,New York
101,Data Scientist,4.7,Rapid Response Monitoring,"Syracuse, NY",501 to 1000 employees,Business Services,85.5,1,0,0,0,0,lowSalary,500 to 1000,NY,New York
102,"Data Scientist, Rice University",4.3,Trilogy Ed,"Houston, TX",1001 to 5000 employees,Education,87.5,1,0,0,0,0,lowSalary,1000 to 5000,TX,Texas
103,Senior Data Scientist,4.2,Gallup,"Washington, DC",1001 to 5000 employees,Business Services,237.5,1,0,0,0,1,highSalary,1000 to 5000,DC,DC
104,Data Engineer,3.9,CapTech,"Charlotte, NC",1001 to 5000 employees,Information Technology,95.5,1,0,1,0,0,middleSalary,1000 to 5000,NC,North Carolina
105,Senior Data Scientist,3.3,American Axle & Manufacturing,"Southfield, MI",10000+ employees,Manufacturing,104.5,1,0,1,1,1,middleSalary,More than 5000,MI,Michigan
106,Financial Data Analyst,4.7,CentralReach,"Matawan, NJ",201 to 500 employees,Information Technology,56.5,0,0,0,0,1,lowSalary,Under 500,NJ,New Jersey
107,Senior Data Analyst,4.3,Integrate,"Phoenix, AZ",201 to 500 employees,Information Technology,55.0,0,0,0,0,1,lowSalary,Under 500,AZ,Arizona
108,Research Scientist,2.9,Boys Town Hospital,"Omaha, NE",1001 to 5000 employees,Health Care,61.5,0,0,0,0,1,lowSalary,1000 to 5000,NE,Nebraska
109,Data Scientist,4.5,Demandbase,"San Francisco, CA",201 to 500 employees,Information Technology,157.0,0,0,1,1,0,highSalary,Under 500,CA,California
110,Data Engineer,3.4,Sapphire Digital,"Lyndhurst, NJ",201 to 500 employees,Information Technology,78.0,1,0,0,0,0,lowSalary,Under 500,NJ,New Jersey
111,Data Scientist,3.7,Takeda Pharmaceuticals,"Cambridge, MA",10000+ employees,Biotech & Pharmaceuticals,113.5,1,0,1,0,0,middleSalary,More than 5000,MA,Massachusetts
112,Data Scientist,4.6,<intent>,"New York, NY",51 to 200 employees,Information Technology,140.0,1,0,1,0,0,middleSalary,Under 500,NY,New York
113,Data Scientist,3.2,Formation,"San Francisco, CA",51 to 200 employees,Information Technology,132.5,0,0,1,0,1,middleSalary,Under 500,CA,California
114,Data Engineer,4.0,Autodesk,"San Francisco, CA",5001 to 10000 employees,Information Technology,108.0,1,0,1,0,0,middleSalary,More than 5000,CA,California
115,Ag Data Scientist,4.6,Beck's Hybrids,"Atlanta, IN",501 to 1000 employees,Agriculture & Forestry,80.5,0,0,0,0,0,lowSalary,500 to 1000,IN,Indiana
116,Data Scientist,2.8,DrFirst,"Rockville, MD",201 to 500 employees,Health Care,107.5,1,0,0,0,0,middleSalary,Under 500,MD,Maryland
117,Data Engineer,4.7,Object Partners,"Minneapolis, MN",51 to 200 employees,Business Services,95.0,0,0,1,1,0,middleSalary,Under 500,MN,Minnesota
118,Data Scientist II,3.0,L.A. Care Health Plan,"Los Angeles, CA",1001 to 5000 employees,Health Care,119.5,1,0,1,0,0,middleSalary,1000 to 5000,CA,California
119,Senior Data Engineer,3.2,Red Ventures,"Charlotte, NC",1001 to 5000 employees,Business Services,134.0,0,0,1,1,0,middleSalary,1000 to 5000,NC,North Carolina
120,Data Scientist,4.4,Quick Base,"Cambridge, MA",201 to 500 employees,Information Technology,100.5,1,0,0,0,1,middleSalary,Under 500,MA,Massachusetts
121,Data Scientist,3.5,The E.W. Scripps Company,"Cincinnati, OH",1001 to 5000 employees,Media,107.5,1,0,0,0,0,middleSalary,1000 to 5000,OH,Ohio
122,Data Engineer,4.0,Upside Business Travel,"Washington, DC",51 to 200 employees,Information Technology,122.0,1,0,1,1,0,middleSalary,Under 500,DC,DC
123,Data Engineer,4.3,Equity Residential,"Chicago, IL",1001 to 5000 employees,Real Estate,92.5,1,0,1,0,1,middleSalary,1000 to 5000,IL,Illinois
124,Data Analyst,2.3,Synagro,"Baltimore, MD",501 to 1000 employees,Business Services,62.0,0,0,0,0,1,lowSalary,500 to 1000,MD,Maryland
125,Project Scientist,4.0,Alliance Source Testing,"Alabaster, AL",51 to 200 employees,Business Services,39.5,0,0,0,0,0,lowestSalary,Under 500,AL,Alabama
126,Data Scientist,3.6,Accuride International,"Santa Fe Springs, Los Angeles, CA",1001 to 5000 employees,Manufacturing,107.5,0,0,0,0,1,middleSalary,1000 to 5000,CA,California
127,Data Analytics Manager,3.8,Full Potential Solutions,"Kansas City, MO",501 to 1000 employees,Business Services,40.5,1,0,0,1,1,lowestSalary,500 to 1000,MO,Missouri
128,Senior Machine Learning (ML) Engineer / Data Scientist - Cyber Security Analytics,3.7,Visa Inc.,"Ashburn, VA",10000+ employees,Information Technology,89.5,1,0,1,0,0,lowSalary,More than 5000,VA,Virginia
129,Data Scientist,4.4,Maven Wave Partners,"Chicago, IL",201 to 500 employees,Business Services,81.0,1,0,0,1,1,lowSalary,Under 500,IL,Illinois
130,Senior Data Scientist,4.0,Novetta,"Herndon, VA",501 to 1000 employees,Information Technology,147.0,1,0,0,1,0,middleSalary,500 to 1000,VA,Virginia
131,Data Scientist,3.2,"First Command Financial Services, Inc.","Fort Worth, TX",1001 to 5000 employees,Finance,85.0,1,0,0,0,1,lowSalary,1000 to 5000,TX,Texas
132,Associate Scientist,2.9,Pharmavite,"Valencia, CA",1001 to 5000 employees,Manufacturing,81.5,0,0,0,0,1,lowSalary,1000 to 5000,CA,California
133,"Scientist 2, QC Viral Vector",3.8,BioMarin Pharmaceutical,"Novato, CA",1001 to 5000 employees,Biotech & Pharmaceuticals,168.0,0,0,0,0,1,highSalary,1000 to 5000,CA,California
134,Machine Learning Engineer,4.3,Stratagem Group,"Aurora, CO",1 to 50 employees,Aerospace & Defense,100.5,1,0,1,1,1,middleSalary,Under 500,CO,Colorado
135,Data Scientist/ML Engineer,3.4,PA Consulting,"New York, NY",1001 to 5000 employees,Business Services,97.0,1,0,1,0,1,middleSalary,1000 to 5000,NY,New York
136,Data Scientist,4.1,ManTech,"Chantilly, VA",5001 to 10000 employees,Business Services,85.0,0,0,0,0,0,lowSalary,More than 5000,VA,Virginia
137,Customer Data Scientist,4.3,h2o.ai,"Mountain View, CA",201 to 500 employees,Information Technology,153.5,1,0,1,1,1,highSalary,Under 500,CA,California
138,Data Engineer,5.0,Gridiron IT,"Tampa, FL",51 to 200 employees,Information Technology,132.5,0,0,0,0,0,middleSalary,Under 500,FL,Florida
139,Data Engineer,4.3,Productive Edge,"Chicago, IL",51 to 200 employees,Information Technology,100.0,0,0,1,0,1,middleSalary,Under 500,IL,Illinois
140,Sr. Data Scientist,3.7,Evolve Vacation Rental,"Denver, CO",201 to 500 employees,Travel & Tourism,105.0,1,0,0,0,0,middleSalary,Under 500,CO,Colorado
141,Data Engineer 4 - Contract,4.2,The Church of Jesus Christ of Latter-day Saints,"Riverton, UT",10000+ employees,Non-Profit,87.0,0,0,0,1,1,lowSalary,More than 5000,UT,Utah
142,Data Analyst - Asset Management,4.3,Maximus Real Estate Partners,"San Francisco, CA",51 to 200 employees,Real Estate,103.5,0,0,0,0,1,middleSalary,Under 500,CA,California
143,Senior Research Scientist - Embedded System Development for DevOps,2.6,Software Engineering Institute,"Pittsburgh, PA",501 to 1000 employees,Education,124.0,1,0,0,0,1,middleSalary,500 to 1000,PA,Pennsylvania
144,Data Scientist - Bioinformatics,3.8,PNNL,"Richland, WA",1001 to 5000 employees,"Oil, Gas, Energy & Utilities",67.0,1,0,0,0,0,lowSalary,1000 to 5000,WA,Washington
145,Data Engineer,3.9,AVANADE,"Washington, DC",10000+ employees,Information Technology,87.0,0,0,0,0,0,lowSalary,More than 5000,DC,DC
146,Customer Data Scientist/Sales Engineer,4.3,h2o.ai,"Chicago, IL",201 to 500 employees,Information Technology,137.5,1,0,1,1,1,middleSalary,Under 500,IL,Illinois
147,Lead Data Scientist,3.8,PatientPoint,"Cincinnati, OH",201 to 500 employees,Business Services,100.0,1,0,0,0,1,middleSalary,Under 500,OH,Ohio
148,MongoDB Data Engineer II,3.8,BlueCross BlueShield of Tennessee,"Chattanooga, TN",5001 to 10000 employees,Insurance,106.5,0,0,0,0,1,middleSalary,More than 5000,TN,Tennessee
149,Senior Data Scientist Statistics,3.8,PNNL,"Richland, WA",1001 to 5000 employees,"Oil, Gas, Energy & Utilities",98.5,0,0,0,0,0,middleSalary,1000 to 5000,WA,Washington
150,Senior Data Analyst,4.8,KnowBe4,"Clearwater, FL",501 to 1000 employees,Business Services,61.0,1,0,0,0,1,lowSalary,500 to 1000,FL,Florida
151,Senior Spark Engineer (Data Science),4.4,KSM Consulting,"Indianapolis, IN",51 to 200 employees,Business Services,106.5,1,0,1,1,0,middleSalary,Under 500,IN,Indiana
152,Data Engineer,3.9,Cogo Labs,"Cambridge, MA",51 to 200 employees,Information Technology,84.5,1,0,1,0,0,lowSalary,Under 500,MA,Massachusetts
153,BI & Platform Analytics Manager,3.4,Church & Dwight,"Ewing, NJ",1001 to 5000 employees,Manufacturing,109.5,1,0,0,0,1,middleSalary,1000 to 5000,NJ,New Jersey
154,Lead Data Scientist,3.6,MassMutual,"Boston, MA",5001 to 10000 employees,Insurance,164.0,1,0,1,1,0,highSalary,More than 5000,MA,Massachusetts
155,"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)",3.9,Genentech,"South San Francisco, CA",10000+ employees,Biotech & Pharmaceuticals,169.0,1,0,1,0,1,highSalary,More than 5000,CA,California
156,Senior Data Scientist,3.8,Juniper Networks,"Cupertino, CA",5001 to 10000 employees,Telecommunications,142.0,1,0,1,1,1,middleSalary,More than 5000,CA,California
157,Pricipal Scientist Molecular and cellular biologist,3.7,Takeda Pharmaceuticals,"Boston, MA",10000+ employees,Biotech & Pharmaceuticals,76.5,0,0,0,0,1,lowSalary,More than 5000,MA,Massachusetts
158,"Data Scientist (Actuary, FSA or ASA)",3.8,Legal & General America,"Frederick, MD",501 to 1000 employees,Insurance,107.0,1,0,0,0,1,middleSalary,500 to 1000,MD,Maryland
159,Staff Data Scientist,3.5,Western Digital,"San Jose, CA",10000+ employees,Information Technology,171.5,1,0,0,1,0,highSalary,More than 5000,CA,California
160,Senior Data Scientist / Machine Learning,3.9,Health IQ,"Dallas, TX",201 to 500 employees,Insurance,96.0,0,0,0,0,1,middleSalary,Under 500,TX,Texas
161,Data Scientist - Health Data Analytics,4.2,Nuna,"San Francisco, CA",51 to 200 employees,Information Technology,142.5,0,0,0,0,0,middleSalary,Under 500,CA,California
162,Data Engineer 5 - Contract (Remote),4.2,The Church of Jesus Christ of Latter-day Saints,"Riverton, UT",10000+ employees,Non-Profit,107.0,0,0,0,0,1,middleSalary,More than 5000,UT,Utah
163,Senior Scientist - Neuroscience,3.5,Sunovion,"Marlborough, MA",1001 to 5000 employees,Biotech & Pharmaceuticals,145.0,1,0,0,0,1,middleSalary,1000 to 5000,MA,Massachusetts
164,Senior Data Analyst,2.9,National Student Clearinghouse,"Herndon, VA",201 to 500 employees,Education,61.5,1,0,0,0,1,lowSalary,Under 500,VA,Virginia
