,County,State,Year,Severity,count(Severity)
187,Currituck,NC,2020,2,8
188,Montgomery,AL,2020,4,21
189,Sumter,SC,2020,4,19
190,Wallowa,OR,2020,2,146
191,Chittenden,VT,2020,3,16
192,Fauquier,VA,2020,4,76
193,Montgomery,PA,2020,3,677
194,Delaware,PA,2020,3,283
195,Warren,OH,2020,3,26
196,Hendricks,IN,2020,3,59
197,Larimer,CO,2020,2,134
198,Mesa,CO,2020,3,36
199,Jefferson,WI,2020,3,44
200,Clinton,PA,2020,3,32
201,Halifax,NC,2020,3,17
202,Allen,LA,2020,2,1
203,Harrison,MO,2020,3,1
204,Union,NC,2020,3,18
205,San Francisco,CA,2020,4,67
206,Muskegon,MI,2020,3,9
207,Hamilton,TN,2020,4,26
208,Mecosta,MI,2020,3,1
209,Arlington,VA,2020,4,40
210,Monongalia,WV,2020,2,38
211,Van Wert,OH,2020,2,6
212,Baker,FL,2020,2,216
213,Dorchester,SC,2020,2,1254
214,El Paso,TX,2020,3,165
215,Santa Barbara,CA,2020,2,2297
216,Emery,UT,2020,3,8
217,Cumberland,ME,2020,3,20
218,District of Columbia,DC,2020,3,244
219,Butts,GA,2020,3,29
220,Lake,IL,2020,4,101
221,Rutherford,TN,2020,2,130
222,Maury,TN,2020,4,5
223,Churchill,NV,2020,3,3
224,Bernalillo,NM,2020,2,661
225,Oakland,MI,2020,3,664
226,New Kent,VA,2020,2,246
227,Alexandria,VA,2020,2,320
228,Sevier,TN,2020,2,41
229,Randall,TX,2020,2,3
230,Talladega,AL,2020,2,55
231,Rowan,NC,2020,2,144
232,Henry,GA,2020,4,47
233,Harrison,TX,2020,3,2
234,Montgomery,VA,2020,2,150
235,Douglas,OR,2020,3,42
236,Chambers,TX,2020,3,5
237,Santa Rosa,FL,2020,4,7
238,Newton,GA,2020,2,45
239,Rutland,VT,2020,2,10
240,Crisp,GA,2020,2,6
241,Mesa,CO,2020,4,8
242,Summit,CO,2020,2,25
243,Stark,OH,2020,4,23
244,Harrison,IN,2020,3,4
245,Henry,OH,2020,2,1
246,Lake,FL,2020,2,741
247,Chatham,GA,2020,2,480
248,Tillamook,OR,2020,2,396
249,Manassas Park,VA,2020,2,6
250,Campbell,KY,2020,2,58
251,Floyd,IN,2020,3,64
252,Hamilton,FL,2020,2,124
253,Effingham,IL,2020,2,6
254,Angelina,TX,2020,2,6
255,Greene,VA,2020,2,30
256,DeSoto,MS,2020,4,11
257,Salt Lake,UT,2020,4,95
258,Gunnison,CO,2020,2,20
259,Kanawha,WV,2020,2,383
260,Vernon,WI,2020,2,2
261,Marion,IL,2020,2,2
262,Caddo,LA,2020,3,181
263,Fulton,PA,2020,3,29
264,Ellis,TX,2020,3,67
265,Harrison,TX,2020,2,4
266,Sumter,AL,2020,2,30
267,Clark,WI,2020,2,3
268,Summit,OH,2020,4,34
269,Newton,MS,2020,3,4
270,Jackson,MO,2020,1,3
271,Monroe,IA,2020,2,4
272,Staunton,VA,2020,3,4
273,Bucks,PA,2020,3,220
274,Canadian,OK,2020,2,498
275,Alexander,NC,2020,2,16
276,Bedford,PA,2020,2,292
277,Clarion,PA,2020,4,20
278,Jackson,MN,2020,2,240
279,Montgomery,TX,2020,2,126
280,Adams,IL,2020,2,1
281,Burke,NC,2020,4,18
282,Antrim,MI,2020,2,5
283,Dare,NC,2020,2,6
284,Yadkin,NC,2020,4,6
285,Lancaster,VA,2020,3,1
286,Ocean,NJ,2020,4,44
287,Williamson,TX,2020,4,33
288,Clarke,IA,2020,4,1
289,Candler,GA,2020,3,1
290,Stewart,GA,2020,2,7
291,Childress,TX,2020,2,1
292,Clark,OH,2020,3,40
293,Lafayette,LA,2020,2,1934
294,Autauga,AL,2020,3,53
295,Tooele,UT,2020,3,44
296,Sumter,SC,2020,2,803
297,Ventura,CA,2020,3,30
298,Lackawanna,PA,2020,3,41
299,Virginia Beach,VA,2020,2,647
300,Robeson,NC,2020,2,99
301,Goochland,VA,2020,3,30
302,Clearfield,PA,2020,4,18
303,Clarke,GA,2020,2,31
304,Lafayette,MO,2020,3,25
305,Randolph,AL,2020,2,6
306,Skamania,WA,2020,3,3
307,White,IN,2020,3,3
308,Lauderdale,TN,2020,2,2
309,Atascosa,TX,2020,2,3
310,Wayne,PA,2020,3,4
311,Rogers,OK,2020,2,13
312,Prince William,VA,2020,3,528
313,Clay,FL,2020,2,651
314,Montgomery,AL,2020,2,2279
315,Washington,OR,2020,2,1268
316,Pickens,SC,2020,2,1290
317,Alachua,FL,2020,2,611
318,Orange,VA,2020,2,62
319,Dinwiddie,VA,2020,4,40
320,Pittsylvania,VA,2020,3,2
321,Catoosa,GA,2020,2,40
322,Choctaw,AL,2020,3,1
323,Pueblo,CO,2020,4,22
324,Genesee,MI,2020,1,1
325,Jasper,IA,2020,3,32
326,Denton,TX,2020,2,331
327,Grant,MN,2020,2,87
328,Sutter,CA,2020,2,495
329,Barnwell,SC,2020,2,107
330,Huntingdon,PA,2020,2,194
331,Mecklenburg,NC,2020,4,111
332,Guadalupe,TX,2020,3,27
333,Gordon,GA,2020,2,25
334,Broomfield,CO,2020,3,37
335,San Juan,UT,2020,3,1
336,Nacogdoches,TX,2020,2,2
337,Greene,IN,2020,3,1
338,Carter,TN,2020,3,6
339,Wagoner,OK,2020,2,14
340,Rock Island,IL,2020,2,12
341,Malheur,OR,2020,3,11
342,Lewis,WV,2020,4,4
343,Bexar,TX,2020,2,4271
344,Clark,IN,2020,2,99
345,Bennington,VT,2020,2,5
346,Boone,KY,2020,2,62
347,Lucas,OH,2020,2,228
348,Columbia,GA,2020,2,64
349,Cherokee,TX,2020,2,3
350,McMinn,TN,2020,2,28
351,Koochiching,MN,2020,2,47
352,Cass,MO,2020,3,51
353,Tarrant,TX,2020,4,186
354,Glynn,GA,2020,2,39
355,Sumter,AL,2020,3,8
356,Grayson,VA,2020,2,7
357,Carter,TN,2020,2,16
358,Van Buren,MI,2020,3,23
359,Seminole,FL,2020,4,44
360,Forsyth,NC,2020,1,38
361,Bremer,IA,2020,2,2
362,Boulder,CO,2020,3,31
363,Alexandria,VA,2020,3,193
364,Davidson,NC,2020,2,135
365,Manatee,FL,2020,4,66
366,Coconino,AZ,2020,2,185
367,Madison,FL,2020,3,24
368,Chatham,NC,2020,2,72
369,Waller,TX,2020,2,21
370,Cheboygan,MI,2020,3,2
371,Oconee,SC,2020,1,4
372,Santa Clara,CA,2020,4,115
373,Lorain,OH,2020,4,8
374,Lac qui Parle,MN,2020,2,22
375,Rankin,MS,2020,4,6
376,Nash,NC,2020,4,26
377,Gilchrist,FL,2020,2,65
378,Poweshiek,IA,2020,3,19
379,Scott,IA,2020,3,63
380,Mobile,AL,2020,3,492
381,Collin,TX,2020,3,100
382,Orleans,LA,2020,2,3996
383,Kent,MI,2020,3,264
384,Lowndes,AL,2020,2,121
385,Washington,MD,2020,2,500
386,Stanislaus,CA,2020,3,67
387,McCormick,SC,2020,2,55
388,Hendry,FL,2020,2,97
389,Apache,AZ,2020,3,20
390,Beaver,PA,2020,2,101
391,St. Charles,LA,2020,4,24
392,Bent,CO,2020,3,6
393,Berkeley,SC,2020,1,18
394,Jackson,IN,2020,4,12
395,Rensselaer,NY,2020,4,20
396,Polk,FL,2020,4,45
397,Lincoln,GA,2020,2,10
398,Sussex,VA,2020,4,7
399,Putnam,GA,2020,2,10
400,Gilliam,OR,2020,2,185
401,Alger,MI,2020,2,1
402,Columbus,NC,2020,2,23
403,Jefferson,FL,2020,3,20
404,Putnam,NY,2020,2,466
405,Lycoming,PA,2020,3,26
406,Wayne,IL,2020,3,5
407,Aroostook,ME,2020,2,10
408,Gordon,GA,2020,4,4
409,Habersham,GA,2020,2,18
410,Lawrence,PA,2020,3,4
411,Montezuma,CO,2020,2,7
412,Grant,KY,2020,4,1
413,Taylor,TX,2020,4,2
414,Dallas,TX,2020,3,6898
415,Mohave,AZ,2020,2,228
416,Santa Rosa,FL,2020,2,1089
417,Dale,AL,2020,2,109
418,Muskingum,OH,2020,3,10
419,Greene,PA,2020,3,4
420,Tioga,NY,2020,3,3
421,Eau Claire,WI,2020,2,22
422,Baker,FL,2020,3,32
423,York,VA,2020,2,175
424,Knox,IN,2020,2,4
425,Pemiscot,MO,2020,2,1
426,Oconto,WI,2020,2,3
427,Bucks,PA,2020,4,82
428,Smith,TX,2020,4,1
429,Okmulgee,OK,2020,2,2
430,Henry,IL,2020,2,12
431,Fulton,NY,2020,2,5
432,McLean,IL,2020,3,58
433,Schenectady,NY,2020,3,72
434,New Haven,CT,2020,4,141
435,Kenosha,WI,2020,2,31
436,Harrisonburg,VA,2020,3,36
437,Warren,VA,2020,3,17
438,Mecklenburg,VA,2020,2,120
439,Baltimore City,MD,2020,4,75
440,Rowan,NC,2020,3,47
441,Cumberland,ME,2020,2,72
442,Henry,IN,2020,3,28
443,Whatcom,WA,2020,4,25
444,Jefferson,PA,2020,4,4
445,Appomattox,VA,2020,3,3
446,Murray,OK,2020,3,1
447,Morrow,OR,2020,2,200
448,Calhoun,IA,2020,2,7
449,Randolph,NC,2020,4,33
450,El Paso,CO,2020,1,73
451,Lafayette,WI,2020,2,1
452,Jefferson,KY,2020,3,955
453,Keith,NE,2020,2,1
454,Spokane,WA,2020,2,541
455,Lackawanna,PA,2020,2,105
456,Scott,MN,2020,3,26
457,Robertson,TN,2020,3,48
458,Hamilton,IN,2020,3,79
459,Sumter,FL,2020,2,316
460,Cobb,GA,2020,4,99
461,Carroll,GA,2020,4,41
462,Jackson,FL,2020,2,228
463,Fairfax County,VA,2020,4,148
464,Polk,TX,2020,2,2
465,Woodbury,IA,2020,3,13
466,Oklahoma,OK,2020,1,8
467,Marshall,MS,2020,3,3
468,Titus,TX,2020,4,3
469,Torrance,NM,2020,3,4
470,Essex,NJ,2020,3,432
471,Snyder,PA,2020,2,206
472,Ramsey,MN,2020,2,4068
473,Dallas,IA,2020,3,37
474,Cuyahoga,OH,2020,3,633
475,Platte,MO,2020,3,121
476,Weber,UT,2020,2,1279
477,Thurston,WA,2020,3,109
478,Jackson,WI,2020,3,14
479,Del Norte,CA,2020,2,334
480,Ashtabula,OH,2020,3,2
481,Columbiana,OH,2020,2,4
482,Jefferson,TN,2020,3,23
483,Shenandoah,VA,2020,4,39
484,Clarendon,SC,2020,4,8
485,Hart,GA,2020,3,9
486,Lebanon,PA,2020,2,236
487,Skagit,WA,2020,3,52
488,Clark,WA,2020,4,15
489,Waynesboro,VA,2020,4,3
490,Lee,GA,2020,3,1
491,Greene,GA,2020,2,33
492,Colleton,SC,2020,4,8
493,Henderson,NC,2020,2,177
494,Yadkin,NC,2020,2,39
495,Shelby,AL,2020,4,7
496,El Paso,TX,2020,4,15
497,Turner,GA,2020,3,8
498,Loudoun,VA,2020,1,2
499,Camden,GA,2020,2,16
500,New Castle,DE,2020,2,1787
501,Mecklenburg,NC,2020,2,18703
502,Orange,FL,2020,2,12145
503,Manatee,FL,2020,2,3120
504,Massac,IL,2020,3,16
505,Alameda,CA,2020,2,11119
506,Dimmit,TX,2020,3,1
507,Union,NJ,2020,3,293
508,Bedford,PA,2020,3,68
509,Jefferson,AL,2020,4,59
510,Ulster,NY,2020,2,260
511,Woodford,IL,2020,3,15
512,Scott,KY,2020,2,6
513,Bibb,AL,2020,2,16
514,Suwannee,FL,2020,4,14
515,Yamhill,OR,2020,3,29
516,Mitchell,GA,2020,2,2
517,Humboldt,NV,2020,3,9
518,Warren,MO,2020,4,4
519,Suffolk,MA,2020,2,2223
520,Monterey,CA,2020,2,3289
521,Morgan,UT,2020,2,145
522,West Baton Rouge,LA,2020,3,102
523,Delaware,OH,2020,3,34
524,St. Clair,AL,2020,3,54
525,Nassau,NY,2020,1,41
526,Forsyth,GA,2020,2,43
527,Anne Arundel,MD,2020,4,185
528,Lake,CO,2020,3,11
529,Terrebonne,LA,2020,3,4
530,Putnam,TN,2020,2,31
531,Stokes,NC,2020,2,19
532,Fayette,TX,2020,3,1
533,Kern,CA,2020,4,68
534,Hudson,NJ,2020,3,220
535,East Baton Rouge,LA,2020,2,10651
536,Cumberland,TN,2020,3,28
537,Terrell,TX,2020,2,1
538,DeSoto,FL,2020,2,48
539,Stephens,GA,2020,2,10
540,Upson,GA,2020,2,9
541,Chittenden,VT,2020,4,3
542,Davie,NC,2020,3,25
543,Vernon,MO,2020,3,1
544,Freestone,TX,2020,3,1
545,Hanover,VA,2020,4,22
546,Boone,IL,2020,2,7
547,Chattahoochee,GA,2020,2,8
548,Cass,MI,2020,3,1
549,Chesterfield,VA,2020,2,3722
550,Adams,CO,2020,3,1087
551,Berkeley,SC,2020,3,236
552,Marshall,IL,2020,3,8
553,Meeker,MN,2020,2,182
554,Union,IL,2020,3,14
555,Mower,MN,2020,2,175
556,Comal,TX,2020,3,44
557,Brazoria,TX,2020,3,15
558,Logan,IL,2020,3,31
559,Craighead,AR,2020,2,114
560,Belmont,OH,2020,2,6
561,Washington,VA,2020,3,48
562,Calhoun,SC,2020,2,209
563,Macoupin,IL,2020,3,15
564,Rockbridge,VA,2020,2,263
565,Teller,CO,2020,2,16
566,Nottoway,VA,2020,2,26
567,Kershaw,SC,2020,4,22
568,Pickens,SC,2020,1,1
569,Coweta,GA,2020,4,38
570,Stillwater,MT,2020,4,1
571,Kent,MI,2020,1,11
572,Hardin,TX,2020,3,1
573,Macon,IL,2020,4,2
574,Bartholomew,IN,2020,4,3
575,Caledonia,VT,2020,3,2
576,Atlantic,NJ,2020,2,311
577,Middlesex,MA,2020,3,797
578,Douglas,CO,2020,3,580
579,St. Lucie,FL,2020,3,168
580,Siskiyou,CA,2020,2,730
581,Warren,NJ,2020,3,43
582,Okaloosa,FL,2020,3,37
583,Fauquier,VA,2020,3,75
584,Ross,OH,2020,3,2
585,Polk,GA,2020,2,16
586,Conecuh,AL,2020,3,11
587,Jefferson,IL,2020,2,6
588,Tompkins,NY,2020,2,2
589,Dearborn,IN,2020,3,3
590,Henderson,TN,2020,3,3
591,Kerr,TX,2020,3,1
592,Luzerne,PA,2020,3,77
593,Blue Earth,MN,2020,2,622
594,San Bernardino,CA,2020,3,2103
595,Miami-Dade,FL,2020,4,457
596,Pasco,FL,2020,3,129
597,Linn,IA,2020,2,151
598,Crittenden,AR,2020,2,168
599,Harnett,NC,2020,2,101
600,Highland,OH,2020,2,2
601,Sampson,NC,2020,2,31
602,Ellis,TX,2020,4,20
603,Cleburne,AL,2020,2,47
604,St. Charles,LA,2020,2,69
605,Monroe,AL,2020,2,6
606,Bladen,NC,2020,2,16
607,Custer,CO,2020,2,3
608,Ozaukee,WI,2020,2,8
609,Philadelphia,PA,2020,3,1236
610,Berks,PA,2020,3,131
611,Tarrant,TX,2020,3,1801
612,Maricopa,AZ,2020,2,11621
613,Camden,NJ,2020,3,261
614,McCracken,KY,2020,3,1
615,Southampton,VA,2020,2,18
616,Williamson,IL,2020,2,9
617,Greenville,SC,2020,4,56
618,Barren,KY,2020,3,2
619,Alpine,CA,2020,2,77
620,Armstrong,PA,2020,2,3
621,De Witt,IL,2020,2,1
622,Mecklenburg,NC,2020,3,1530
623,Richland,SC,2020,3,815
624,Beaufort,SC,2020,2,649
625,Polk,FL,2020,3,204
626,Jasper,SC,2020,2,382
627,Weber,UT,2020,3,156
628,Madera,CA,2020,2,1723
629,Logan,CO,2020,2,4
630,Allendale,SC,2020,2,51
631,Barrow,GA,2020,3,7
632,Wood,OH,2020,2,30
633,Hot Spring,AR,2020,4,7
634,Santa Cruz,CA,2020,3,35
635,Cocke,TN,2020,4,6
636,Canyon,ID,2020,2,365
637,Osage,KS,2020,2,1
638,Piute,UT,2020,2,11
639,Wayne,IN,2020,4,8
640,Brevard,FL,2020,3,274
641,Lee,AL,2020,3,84
642,Eureka,NV,2020,2,20
643,Limestone,AL,2020,3,236
644,St. Clair,AL,2020,2,127
645,Portsmouth,VA,2020,3,70
646,Greene,NY,2020,3,20
647,Worcester,MD,2020,3,13
648,Warren,IA,2020,3,9
649,Tulare,CA,2020,3,13
650,Hunt,TX,2020,3,9
651,Cecil,MD,2020,1,5
652,Perry,PA,2020,3,6
653,Manassas,VA,2020,2,42
654,Jackson,IA,2020,3,1
655,Iredell,NC,2020,2,251
656,Jefferson,LA,2020,3,302
657,Jackson,GA,2020,3,57
658,Larimer,CO,2020,3,197
659,Lake,IN,2020,4,50
660,Yuma,AZ,2020,3,17
661,Union,FL,2020,2,59
662,Vigo,IN,2020,2,38
663,Charlotte,FL,2020,2,208
664,St. Landry,LA,2020,2,10
665,Wayne,PA,2020,2,5
666,Monroe,OH,2020,2,1
667,Calhoun,AL,2020,3,19
668,Bland,VA,2020,2,35
669,Lowndes,GA,2020,2,41
670,Auglaize,OH,2020,4,1
671,Boone,MO,2020,2,25
672,Curry,OR,2020,2,259
673,Okanogan,WA,2020,3,1
674,Union,OR,2020,2,769
675,Lackawanna,PA,2020,4,12
676,Crawford,OH,2020,2,5
677,Chippewa,MN,2020,2,97
678,Kalamazoo,MI,2020,3,45
679,Union,PA,2020,2,186
680,Fillmore,MN,2020,2,129
681,Jackson,WI,2020,4,6
682,Dillon,SC,2020,2,376
683,Marion,TN,2020,3,42
684,Norfolk,VA,2020,2,940
685,Whiteside,IL,2020,3,18
686,Johnson,IN,2020,3,52
687,Waynesboro,VA,2020,3,20
688,Pottawattamie,IA,2020,4,32
689,Knox,ME,2020,2,1
690,Surry,NC,2020,3,22
691,Lee,SC,2020,4,5
692,Sauk,WI,2020,4,2
693,Clayton,IA,2020,2,6
694,Lawrence,MO,2020,2,12
695,Tehama,CA,2020,2,695
696,Chester,SC,2020,2,348
697,Miller,AR,2020,4,4
698,Storey,NV,2020,2,22
699,Rockingham,NH,2020,3,100
700,Holmes,OH,2020,2,4
701,Middlesex,VA,2020,3,1
702,Wasco,OR,2020,3,21
703,Rockwall,TX,2020,4,15
704,Berks,PA,2020,4,92
705,Chattooga,GA,2020,2,11
706,Crowley,CO,2020,3,4
707,Lamar,AL,2020,2,7
708,Bexar,TX,2020,3,1038
709,Rankin,MS,2020,3,42
710,La Crosse,WI,2020,3,10
711,Racine,WI,2020,3,51
712,Macon-Bibb County,GA,2020,3,161
713,Walker,AL,2020,3,27
714,Greene,OH,2020,2,48
715,Cibola,NM,2020,3,12
716,Logan,OK,2020,3,4
717,Delaware,IN,2020,2,11
718,Chester,PA,2020,1,16
719,Grayson,KY,2020,2,1
720,Kootenai,ID,2020,3,10
721,Westmoreland,PA,2020,3,121
722,Crittenden,AR,2020,3,23
723,Davis,UT,2020,3,294
724,Centre,PA,2020,2,535
725,Hamilton,TN,2020,3,389
726,Polk,OR,2020,2,362
727,Clatsop,OR,2020,2,556
728,Story,IA,2020,3,28
729,Clermont,OH,2020,3,29
730,Hancock,OH,2020,2,4
731,Elbert,CO,2020,2,6
732,Athens,OH,2020,2,2
733,Orange,VA,2020,3,3
734,Westmoreland,VA,2020,3,2
735,Belmont,OH,2020,3,6
736,Roane,TN,2020,2,50
737,Waupaca,WI,2020,2,7
738,Lee,NC,2020,3,1
739,Wicomico,MD,2020,2,73
740,Leon,FL,2020,4,15
741,Lancaster,NE,2020,3,5
742,Delaware,IN,2020,4,10
743,Grant,KY,2020,2,6
744,Chautauqua,NY,2020,3,27
745,Lexington,SC,2020,2,2892
746,Rapides,LA,2020,3,12
747,Hidalgo,TX,2020,2,23
748,Worcester,MA,2020,3,219
749,Peoria,IL,2020,3,61
750,Cullman,AL,2020,2,381
751,Chesapeake,VA,2020,2,612
752,Merrimack,NH,2020,3,118
753,Boone,IN,2020,4,42
754,Tift,GA,2020,2,4
755,Manitowoc,WI,2020,3,2
756,Forrest,MS,2020,3,16
757,Shasta,CA,2020,3,35
758,Gilmer,GA,2020,2,7
759,Cameron,PA,2020,2,20
760,Miami-Dade,FL,2020,3,2598
761,St. Louis City,MO,2020,3,633
762,Will,IL,2020,3,993
763,Malheur,OR,2020,2,696
764,Marion,OR,2020,3,70
765,Rensselaer,NY,2020,3,54
766,Portage,WI,2020,2,36
767,Larimer,CO,2020,4,28
768,Glynn,GA,2020,3,30
769,Franklin,IA,2020,3,4
770,Caroline,VA,2020,3,51
771,Multnomah,OR,2020,4,397
772,Horry,SC,2020,3,54
773,Cook,GA,2020,3,6
774,Osceola,FL,2020,4,53
775,Ada,ID,2020,3,7
776,McClain,OK,2020,4,1
777,Madison,KY,2020,4,2
778,Putnam,NY,2020,4,38
779,Transylvania,NC,2020,2,10
780,Lyon,NV,2020,3,4
781,Pasco,FL,2020,2,3113
782,Washoe,NV,2020,3,222
783,Boone,MO,2020,3,30
784,Talbot,MD,2020,2,145
785,Galveston,TX,2020,2,32
786,Colorado,TX,2020,3,2
787,Wilson,NC,2020,4,17
788,Grant,WA,2020,2,18
789,Greene,NC,2020,2,10
790,Benton,IA,2020,3,3
791,Mercer,NJ,2020,3,132
792,Baltimore City,MD,2020,3,433
793,Flagler,FL,2020,3,52
794,York,SC,2020,3,152
795,Lynchburg,VA,2020,2,15
796,Box Elder,UT,2020,4,3
797,Gloucester,NJ,2020,4,58
798,Douglas,GA,2020,2,166
799,Lafourche,LA,2020,2,8
800,Lane,OR,2020,4,254
801,Charlottesville,VA,2020,2,27
802,Nassau,NY,2020,2,2571
803,Fairfax County,VA,2020,2,4230
804,Pinellas,FL,2020,2,4759
805,Livingston,IL,2020,3,14
806,Jasper,SC,2020,3,61
